;;;;;;;;;;;;;;
Activity;transport of fertilizer to soil;;;;;;;;;;;;;
code;trans_fer_to_soi;;;;;;;;;;;;;
location;RER;;;;;;;;;;;;;
amount;1;;;;;;;;;;;;;
type;process;;;;;;;;;;;;;
unit;metric ton kilometer;;;;;;;;;;;;;
reference product;transport, freight, lorry, diesel, unspecified;;;;;;;;;;;;;
Exchanges;;;;;;;;;;;;;;
code;name;amount;unit;database;categories;location;type;reference product;uncertainty type;loc;scale;shape;minimum;maximum
trans_fer_to_soi;transport of fertilizer to soil;1;metric ton kilometer;paw_db;None;RER;production;transport, freight, lorry, diesel, unspecified;0;(Unknown);(Unknown);(Unknown);(Unknown);(Unknown)
(Unknown);market for transport, freight, lorry, unspecified;100;metric ton kilometer;ecoinvent-3.11-cutoff;none;RER;technosphere;sewage sludge;0;(Unknown);(Unknown);(Unknown);(Unknown);(Unknown)
